1,Одноклеточные,,,,,,,,Растения,,,,,,,,Грибы,,,,,,,,Членистоногие,,,,,,,,Моллюски,,,,,,,,Черви,,,,,,,,Рыбы,,,,,,,,Рептилии,,,,,,,,Птицы,,,,,,,,Млекопитающие,,,,,,,
Индекс планеты,Нуклеид,СО 1,СО 2,СО 3,СО 4,СО 5,Сила болезни,Болезнь,Нуклеид,СО 1,СО 2,СО 3,СО 4,СО 5,Сила болезни,Болезнь,Нуклеид,СО 1,СО 2,СО 3,СО 4,СО 5,Сила болезни,Болезнь,Нуклеид,СО 1,СО 2,СО 3,СО 4,СО 5,Сила болезни,Болезнь,Нуклеид,СО 1,СО 2,СО 3,СО 4,СО 5,Сила болезни,Болезнь,Нуклеид,СО 1,СО 2,СО 3,СО 4,СО 5,Сила болезни,Болезнь,Нуклеид,СО 1,СО 2,СО 3,СО 4,СО 5,Сила болезни,Болезнь,Нуклеид,СО 1,СО 2,СО 3,СО 4,СО 5,Сила болезни,Болезнь,Нуклеид,СО 1,СО 2,СО 3,СО 4,СО 5,Сила болезни,Болезнь,Нуклеид,СО 1,СО 2,СО 3,СО 4,СО 5,Сила болезни,Болезнь
ER8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
RR6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
WW0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
BM8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
HN1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0 0 0 -2 -4 -5 -3,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 -3 -5 -6 -4,0 0 0 -4 -7 -6 -4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
IS3,0 0 1 -5 0 0 1,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 -6 0 0 0,0 0 -1 -7 0 0 -1,120,0 -7 0 -5 0 0 1,0 0 0 -5 3 0 1,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 -6 2 0 0,0 0 0 -7 -1 0 1,175,0 -7 1 0 3 0 0,0 0 0 -5 3 -2 1,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 -6 2 -3 0,0 0 0 -7 0 -3 0,200,3 0 0 0 3 -2 0,-,-,-,-,-,-,-,-,3 -7 0 -5 3 -2 1,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,2 -5 0 -6 2 -3 2,5 -6 0 -6 5 -3 0,175,0 -7 1 0 3 0 0,-,-,-,-,-,-,-,-,3 0 1 -5 3 -2 1,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,4 0 0 -6 4 -4 0,1 0 0 -3 2 -1 2,225,3 0 0 0 3 -2 0,3 -7 1 0 3 -2 1,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,1 -6 2 0 4 -1 0,4 -8 0 0 2 -3 2,220,0 -7 1 0 3 0 0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
SH8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
AC4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KK5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
OT6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
OH7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0 0 0 -4 2 6 3,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 -5 1 5 2,0 0 0 -6 -1 5 2,200,5 0 0 0 2 6 0,5 2 -6 0 0 0 3,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,4 1 -9 0 0 0 4,0 0 0 -2 -3 -1 -1,165,0 2 0 -4 0 0 3,5 2 0 -4 2 6 3,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,4 4 0 -5 1 5 4,7 3 0 -5 4 5 2,175,0 2 -6 0 2 0 0,-,-,-,-,-,-,-,-,5 0 -6 -4 2 6 3,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,6 0 -7 -5 3 4 2,3 0 -7 -2 1 7 4,225,5 0 0 0 2 6 0,-,-,-,-,-,-,-,-,5 2 -6 -4 2 6 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,4 1 -5 -2 1 7 0,7 4 -7 -3 4 5 0,235,0 2 0 -4 0 0 3,-,-,-,-,-,-,-,-
RZ5,0 0 7 -5 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 6 -6 0 0 -1,0 0 5 -7 0 0 -2,216,0 1 0 -5 0 0 0,0 0 0 -5 2 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 -6 1 0 -1,0 0 0 -7 -2 0 0,315,0 1 7 0 2 0 0,-,-,-,-,-,-,-,-,10 1 7 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,9 0 4 0 0 0 1,0 0 0 -2 -3 -1 -1,297,0 1 0 -5 0 0 0,-,-,-,-,-,-,-,-,10 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,9 0 0 0 0 0 1,11 0 0 0 0 0 -1,342,10 0 0 0 2 0 0,-,-,-,-,-,-,-,-,10 1 7 0 2 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,8 2 8 0 3 1 -1,11 0 6 0 1 -1 1,396,0 1 7 0 2 0 0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YI3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NT5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
OJ1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PJ1,0 0 -2 5 0 0 2,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 -3 4 0 0 1,0 0 -4 3 0 0 0,168,0 3 0 5 0 0 2,0 0 0 5 -5 0 2,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 4 -6 0 1,0 0 0 3 -9 0 2,245,0 3 -2 0 -5 0 0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5 3 0 5 -5 -3 2,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,4 5 0 4 -6 -4 3,7 4 0 4 -3 -4 1,245,0 3 -2 0 -5 0 0,5 0 0 0 0 0 2,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,4 0 0 0 0 0 3,6 0 0 0 0 0 1,266,5 0 0 0 -5 -3 0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5 3 -2 5 -5 -3 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,0 0 0 0 0 0 0,4 2 -1 7 -6 -2 0,7 5 -3 6 -3 -4 0,329,0 3 0 5 0 0 2,-,-,-,-,-,-,-,-
